"﻿""Level""",Student,Subject,Mastered Lessons vs. 2X Learning,Essentials Weekly Target,Essential Lessons Mastered,Lessons Required to Catch Up to 2X,Count
L1,Anon#1387,Reading,0.0059721300597213,12.222222222222223,2,332.8888888888889,1
LL,Anon#428,Reading,0.0059721300597213,12.222222222222223,2,332.8888888888889,1
L1,Anon#2413,Math,0.008368589892603097,8.722222222222221,2,236.98888888888888,1
L2,Anon#927,Math,0.008999100089991,8.11111111111111,2,220.24444444444444,1
L2,Anon#1970,Math,0.008999100089991,8.11111111111111,2,220.24444444444444,1
L1,Anon#005,Math,0.009061162849232317,8.055555555555555,2,218.72222222222223,1
L1,Anon#660,Math,0.009061162849232317,8.055555555555555,2,218.72222222222223,1
LL,Anon#099,Math,0.009318217114458767,7.833333333333333,2,212.63333333333333,1
LL,Anon#684,Math,0.009318217114458767,7.833333333333333,2,212.63333333333333,1
LL,Anon#1238,Math,0.009318217114458767,7.833333333333333,2,212.63333333333333,1
LL,Anon#1796,Math,0.009318217114458767,7.833333333333333,2,212.63333333333333,1
L1,Anon#193,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
L2,Anon#927,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
L3,Anon#1003,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
L3,Anon#1100,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
L3,Anon#1214,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
L3,Anon#1298,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
L3,Anon#1707,Reading,0.009384775808133473,7.777777777777778,2,211.11111111111111,1
Linc,Anon#407,Math,0.009520787051729608,7.666666666666667,2,208.0666666666667,1
L3,Anon#1614,Math,0.01068185864340395,6.833333333333334,2,185.23333333333335,1
L1,Anon#897,Math,0.011424944462075532,6.388888888888888,2,173.05555555555554,1
LL,Anon#099,Language,0.011424944462075532,6.388888888888888,2,173.05555555555554,1
LL,Anon#684,Language,0.011424944462075532,6.388888888888888,2,173.05555555555554,1
L1,Anon#1124,Language,0.011627155868483948,6.277777777777778,2,170.01111111111112,1
L3,Anon#1707,Math,0.011730969760166842,6.222222222222222,2,168.48888888888888,1
LL,Anon#1941,Reading,0.0119442601194426,12.222222222222223,4,330.8888888888889,1
Linc,Anon#1860,Reading,0.0119442601194426,12.222222222222223,4,330.8888888888889,1
LL,Anon#654,Language,0.0121654501216545,6,2,162.4,1
L1,Anon#2330,Language,0.013271400132714,5.5,2,148.70000000000002,1
L2,Anon#940,Math,0.013498650134986502,8.11111111111111,3,219.24444444444444,1
L2,Anon#1513,Math,0.013498650134986502,8.11111111111111,3,219.24444444444444,1
LL,Anon#929,Math,0.01397732567168815,7.833333333333333,3,211.63333333333333,1
LL,Anon#1941,Math,0.01397732567168815,7.833333333333333,3,211.63333333333333,1
L1,Anon#2330,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
L2,Anon#305,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
L2,Anon#940,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
L2,Anon#1327,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
L2,Anon#1513,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
L3,Anon#101,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
L3,Anon#772,Reading,0.014077163712200209,7.777777777777778,3,210.11111111111111,1
Linc,Anon#102,Math,0.014281180577594412,7.666666666666667,3,207.0666666666667,1
L2,Anon#195,Language,0.014438116627897651,5.055555555555555,2,136.5222222222222,1
L2,Anon#202,Language,0.014438116627897651,5.055555555555555,2,136.5222222222222,1
L2,Anon#940,Language,0.014438116627897651,5.055555555555555,2,136.5222222222222,1
L2,Anon#1327,Language,0.014438116627897651,5.055555555555555,2,136.5222222222222,1
L1,Anon#897,Reading,0.014598540145985401,10,4,270,1
Linc,Anon#1631,Reading,0.014598540145985401,10,4,270,1
