"﻿""Level""",Subject,Student,Age Grade,Lowest Unmastered Grade,Grade Gap,Count
L1,Reading,Anon#2402,4,3,-1,1
L2,Reading,Anon#046,5,2,-3,1
L2,Reading,Anon#060,5,1,-4,1
L2,Reading,Anon#306,4,3,-1,1
L2,Reading,Anon#345,6,4,-2,1
L2,Reading,Anon#429,6,4,-2,1
L2,Reading,Anon#447,6,1,-5,1
L2,Reading,Anon#450,5,4,-1,1
L2,Reading,Anon#783,6,3,-3,1
L2,Reading,Anon#843,5,3,-2,1
L2,Reading,Anon#859,5,3,-2,1
L2,Reading,Anon#1056,5,3,-2,1
L2,Reading,Anon#1073,5,4,-1,1
L2,Reading,Anon#1090,5,3,-2,1
L2,Reading,Anon#1093,5,4,-1,1
L2,Reading,Anon#1099,5,3,-2,1
L2,Reading,Anon#1171,5,3,-2,1
L2,Reading,Anon#1216,6,3,-3,1
L2,Reading,Anon#1386,6,3,-3,1
L2,Reading,Anon#1587,6,3,-3,1
L2,Reading,Anon#1698,5,4,-1,1
L2,Reading,Anon#1761,6,5,-1,1
L2,Reading,Anon#1981,6,3,-3,1
L2,Reading,Anon#2001,6,2,-4,1
L2,Reading,Anon#2092,6,4,-2,1
L2,Reading,Anon#2099,6,5,-1,1
L2,Reading,Anon#2244,5,3,-2,1
L3,Reading,Anon#035,8,7,-1,1
L3,Reading,Anon#285,7,6,-1,1
L3,Reading,Anon#514,8,4,-4,1
L3,Reading,Anon#1017,7,4,-3,1
L3,Reading,Anon#1100,8,4,-4,1
L3,Reading,Anon#1741,8,7,-1,1
L3,Reading,Anon#1903,7,1,-6,1
L3,Reading,Anon#2203,7,4,-3,1
L2,Science,Anon#052,5,4,-1,1
L2,Science,Anon#397,5,4,-1,1
L2,Science,Anon#450,5,4,-1,1
L2,Science,Anon#562,5,4,-1,1
L2,Science,Anon#601,5,4,-1,1
L2,Science,Anon#737,6,5,-1,1
L2,Science,Anon#983,5,4,-1,1
L2,Science,Anon#1030,6,5,-1,1
L2,Science,Anon#1093,5,4,-1,1
L2,Science,Anon#1216,6,4,-2,1
L2,Science,Anon#1276,6,5,-1,1
L2,Science,Anon#1317,6,4,-2,1
L2,Science,Anon#1686,7,6,-1,1
L2,Science,Anon#1761,6,5,-1,1
L2,Science,Anon#2099,6,5,-1,1
L2,Science,Anon#2332,5,4,-1,1
L3,Science,Anon#035,8,7,-1,1
L3,Science,Anon#200,7,4,-3,1
L3,Science,Anon#285,7,4,-3,1
L3,Science,Anon#321,7,6,-1,1
L3,Science,Anon#322,8,4,-4,1
L3,Science,Anon#810,8,7,-1,1
L3,Science,Anon#1064,7,6,-1,1
L3,Science,Anon#1445,7,6,-1,1
L3,Science,Anon#1726,7,4,-3,1
L3,Science,Anon#1803,7,5,-2,1
L3,Science,Anon#1832,8,7,-1,1
L3,Science,Anon#2098,8,6,-2,1
L3,Science,Anon#2119,7,6,-1,1
L3,Science,Anon#2409,8,7,-1,1
L4.1,Science,Anon#1395,9,8,-1,1
L1,Social Studies,Anon#718,5,4,-1,1
L1,Social Studies,Anon#1576,5,4,-1,1
L2,Social Studies,Anon#051,6,4,-2,1
L2,Social Studies,Anon#224,5,4,-1,1
L2,Social Studies,Anon#248,6,5,-1,1
L2,Social Studies,Anon#309,6,4,-2,1
L2,Social Studies,Anon#336,6,5,-1,1
L2,Social Studies,Anon#510,6,4,-2,1
L2,Social Studies,Anon#596,6,5,-1,1
L2,Social Studies,Anon#601,5,4,-1,1
L2,Social Studies,Anon#610,6,4,-2,1
L2,Social Studies,Anon#640,5,4,-1,1
L2,Social Studies,Anon#737,6,4,-2,1
L2,Social Studies,Anon#859,5,4,-1,1
L2,Social Studies,Anon#983,5,4,-1,1
L2,Social Studies,Anon#1030,6,4,-2,1
L2,Social Studies,Anon#1093,5,4,-1,1
L2,Social Studies,Anon#1182,6,5,-1,1
L2,Social Studies,Anon#1222,5,4,-1,1
L2,Social Studies,Anon#1276,6,4,-2,1
L2,Social Studies,Anon#1317,6,4,-2,1
L2,Social Studies,Anon#1565,5,4,-1,1
L2,Social Studies,Anon#1686,7,4,-3,1
L2,Social Studies,Anon#1705,6,4,-2,1
L2,Social Studies,Anon#1769,6,5,-1,1
L2,Social Studies,Anon#1807,5,4,-1,1
