"﻿""fullname""",subject,Working grade gap
Anon#364,Language,1
Anon#364,Reading,1
Anon#364,Science,1
Anon#367,Math,1
Anon#367,Reading,1
Anon#374,Language,1
Anon#374,Reading,1
Anon#384,Math,1
Anon#384,Reading,1
Anon#393,Reading,1
Anon#397,Reading,1
Anon#452,Language,1
Anon#452,Math,1
Anon#522,Language,1
Anon#522,Math,1
Anon#522,Science,1
Anon#564,Math,1
Anon#582,Reading,1
Anon#588,Language,1
Anon#588,Math,1
Anon#588,Science,1
Anon#601,Language,1
Anon#601,Reading,1
Anon#606,Science,1
Anon#612,Language,1
Anon#612,Math,1
Anon#612,Reading,1
Anon#634,Language,1
Anon#640,Reading,1
Anon#701,Language,1
Anon#701,Math,1
Anon#701,Reading,1
Anon#708,Language,1
Anon#708,Math,1
Anon#708,Reading,1
Anon#710,Language,1
Anon#718,Math,1
Anon#737,Reading,1
Anon#778,Language,1
Anon#778,Math,1
Anon#790,Language,1
Anon#790,Math,1
Anon#790,Reading,1
Anon#800,Language,1
Anon#800,Math,1
Anon#800,Science,1
Anon#802,Math,1
Anon#802,Science,1
Anon#825,Science,1
Anon#830,Language,1
Anon#830,Science,1
Anon#922,Language,1
Anon#922,Math,1
Anon#922,Reading,1
Anon#922,Science,1
Anon#928,Language,1
Anon#928,Math,1
Anon#930,Language,1
Anon#930,Math,1
Anon#930,Reading,1
Anon#930,Science,1
Anon#939,Language,1
Anon#939,Science,1
Anon#987,Math,1
Anon#1015,Reading,1
Anon#1021,Language,1
Anon#1021,Math,1
Anon#1021,Reading,1
Anon#1030,Reading,1
Anon#1064,Math,1
Anon#1064,Reading,1
Anon#1154,Math,1
Anon#1154,Reading,1
Anon#1217,Math,1
Anon#1217,Reading,1
Anon#1222,Language,1
Anon#1222,Reading,1
Anon#1222,Science,1
Anon#1243,Language,1
Anon#1243,Math,1
Anon#1243,Reading,1
Anon#1260,Language,1
Anon#1276,Reading,1
Anon#1289,Language,1
Anon#1289,Science,1
Anon#1302,Math,1
Anon#1319,Language,1
Anon#1319,Math,1
Anon#1319,Reading,1
Anon#1319,Science,1
Anon#1320,Reading,1
Anon#1326,Language,1
Anon#1326,Math,1
Anon#1331,Math,1
Anon#1340,Math,1
Anon#1340,Science,1
Anon#1345,Science,1
Anon#1350,Language,1
Anon#1350,Math,1
Anon#1350,Reading,1
Anon#1378,Language,1
Anon#1395,Language,1
Anon#1395,Reading,1
Anon#1425,Language,1
Anon#1425,Math,1
Anon#1425,Reading,1
Anon#1425,Science,1
Anon#1445,Language,1
Anon#1473,Science,1
Anon#1495,Math,1
Anon#1495,Reading,1
Anon#1506,Reading,1
Anon#1525,Math,1
Anon#1525,Reading,1
Anon#1525,Science,1
Anon#1565,Science,1
Anon#1567,Science,1
Anon#1595,Language,1
Anon#1595,Math,1
Anon#1595,Reading,1
Anon#1680,Language,1
Anon#1690,Language,1
Anon#1690,Math,1
Anon#1705,Language,1
Anon#1706,Language,1
Anon#1706,Reading,1
Anon#1726,Reading,1
Anon#1762,Math,1
Anon#1768,Science,1
Anon#1770,Language,1
Anon#1770,Reading,1
Anon#1781,Reading,1
Anon#1787,Language,1
Anon#1787,Math,1
Anon#1787,Reading,1
Anon#1790,Language,1
Anon#1790,Math,1
Anon#1790,Reading,1
Anon#1801,Language,1
Anon#1801,Math,1
Anon#1801,Reading,1
Anon#1803,Language,1
Anon#1803,Reading,1
Anon#1863,Language,1
Anon#1863,Math,1
Anon#1863,Reading,1
Anon#1874,Math,1
Anon#1883,Math,1
Anon#1883,Reading,1
Anon#1883,Science,1
Anon#1884,Math,1
Anon#1884,Reading,1
Anon#1889,Language,1
Anon#1894,Science,1
Anon#1900,Language,1
Anon#1900,Math,1
Anon#1900,Reading,1
Anon#1901,Language,1
Anon#1933,Math,1
Anon#1933,Science,1
Anon#2118,Science,1
Anon#2119,Reading,1
Anon#2178,Reading,1
Anon#2198,Reading,1
Anon#2261,Language,1
Anon#2261,Math,1
Anon#2261,Reading,1
Anon#2264,Reading,1
Anon#2312,Language,1
Anon#2312,Math,1
Anon#2317,Language,1
Anon#2317,Math,1
Anon#2328,Language,1
Anon#2332,Reading,1
Anon#2397,Language,1
Anon#2397,Math,1
Anon#2407,Math,1
Anon#2414,Language,1
Anon#2414,Science,1
Anon#043,Math,0
Anon#043,Reading,0
Anon#045,Reading,0
Anon#051,Language,0
Anon#051,Reading,0
Anon#051,Science,0
Anon#052,Reading,0
Anon#057,Math,0
Anon#057,Reading,0
Anon#061,Science,0
Anon#067,Math,0
Anon#067,Science,0
Anon#104,Math,0
Anon#137,Reading,0
Anon#137,Science,0
Anon#200,Reading,0
Anon#224,Math,0
Anon#248,Math,0
Anon#262,Math,0
Anon#275,Math,0
Anon#275,Reading,0
Anon#304,Reading,0
Anon#305,Science,0
Anon#309,Reading,0
Anon#309,Science,0
Anon#321,Language,0
Anon#322,Reading,0
Anon#336,Language,0
Anon#336,Math,0
Anon#336,Reading,0
Anon#336,Science,0
Anon#359,Math,0
Anon#359,Reading,0
Anon#374,Math,0
Anon#375,Reading,0
Anon#384,Language,0
Anon#397,Language,0
Anon#452,Reading,0
Anon#462,Language,0
Anon#510,Science,0
Anon#522,Reading,0
Anon#562,Language,0
Anon#562,Math,0
Anon#564,Language,0
Anon#564,Reading,0
Anon#582,Language,0
Anon#582,Math,0
Anon#582,Science,0
Anon#596,Language,0
Anon#596,Math,0
Anon#601,Math,0
Anon#606,Math,0
Anon#610,Language,0
Anon#610,Math,0
Anon#610,Science,0
Anon#612,Science,0
Anon#626,Language,0
Anon#626,Math,0
Anon#626,Reading,0
Anon#634,Math,0
Anon#640,Language,0
Anon#640,Science,0
Anon#710,Science,0
Anon#737,Math,0
Anon#778,Reading,0
Anon#791,Language,0
Anon#791,Reading,0
Anon#810,Language,0
Anon#810,Math,0
Anon#810,Reading,0
Anon#825,Math,0
Anon#830,Math,0
Anon#838,Science,0
Anon#839,Language,0
Anon#839,Math,0
Anon#846,Language,0
Anon#846,Math,0
Anon#928,Reading,0
Anon#933,Science,0
Anon#939,Math,0
Anon#942,Language,0
Anon#942,Math,0
Anon#942,Science,0
