"﻿""Student""",Subject,Hours Worked,Mins / weekday,Daily minutes vs. target
Anon#035,Language,0.08583333333333334,1.03,0.0412
Anon#035,Science,5.919166666666666,71.02999999999999,2.8411999999999993
Anon#043,Language,1.5078333333333334,18.094,0.7237600000000001
Anon#043,Math,3.8716666666666666,46.459999999999994,1.8583999999999998
Anon#043,Reading,2.695333333333333,32.344,1.29376
Anon#045,Reading,7.502666666666666,90.032,3.60128
Anon#051,Math,0.03883333333333334,0.466,0.01864
Anon#068,Math,0,0,0
Anon#070,Math,0.21583333333333332,2.59,0.1036
Anon#090,Math,2.136,25.631999999999998,1.02528
Anon#096,Math,9.199333333333334,110.39200000000001,4.41568
Anon#098,Math,3.062833333333333,36.754,1.47016
Anon#104,Math,1.9081666666666666,22.898,0.91592
Anon#135,Math,1.3114999999999999,15.738,0.62952
Anon#137,Reading,2.0075,24.09,0.9636
Anon#147,Math,2.756333333333333,33.076,1.32304
Anon#153,Language,0.6293333333333333,7.552,0.30207999999999996
Anon#153,Science,0.04783333333333333,0.5740000000000001,0.02296
Anon#220,Math,3.7395,44.874,1.79496
Anon#224,Math,0.335,4.0200000000000005,0.16080000000000003
Anon#251,Math,0.977,11.724,0.46896
Anon#276,Math,0.4638333333333333,5.566,0.22264
Anon#285,Language,1.9040000000000001,22.848000000000003,0.9139200000000001
Anon#285,Math,2.083,24.996000000000002,0.9998400000000001
Anon#285,Reading,2.6873333333333336,32.248000000000005,1.2899200000000002
Anon#285,Science,0.16966666666666666,2.036,0.08144
Anon#288,Language,0.5471666666666667,6.566,0.26264
Anon#288,Math,0.30183333333333334,3.622,0.14488
Anon#306,Language,0,0,0
Anon#306,Math,1.725,20.7,0.828
Anon#306,Reading,0.3026666666666667,3.632,0.14528
Anon#306,Science,0.783,9.396,0.37584
Anon#329,Math,3.469166666666667,41.63000000000001,1.6652000000000005
Anon#334,Math,0.5093333333333333,6.112,0.24448
Anon#332,Math,0.43516666666666665,5.2219999999999995,0.20887999999999998
Anon#336,Math,1.7641666666666667,21.169999999999998,0.8467999999999999
Anon#336,Science,1.0526666666666666,12.632000000000001,0.5052800000000001
Anon#345,Science,0.46549999999999997,5.586,0.22344
Anon#347,Math,4.098,49.176,1.9670400000000001
Anon#353,Math,2.113,25.356,1.01424
Anon#374,Math,2.0108333333333333,24.130000000000003,0.9652000000000001
Anon#384,Language,0.9614999999999999,11.538,0.46152
Anon#392,Language,1.7355000000000003,20.826,0.83304
Anon#392,Math,1.5354999999999999,18.426,0.7370399999999999
Anon#392,Reading,2.181,26.172000000000004,1.0468800000000003
Anon#392,Science,1.1443333333333332,13.732,0.54928
Anon#392,Social Studies,0.10466666666666667,1.256,0.05024
Anon#395,Math,0.47683333333333333,5.7219999999999995,0.22887999999999997
Anon#397,Language,1.2336666666666667,14.803999999999998,0.5921599999999999
Anon#397,Math,2.671666666666667,32.06,1.2824
Anon#397,Reading,0.1805,2.166,0.08664
Anon#397,Science,1.3865,16.637999999999998,0.6655199999999999
Anon#405,Language,0.018333333333333333,0.22000000000000003,0.0088
Anon#450,Language,2.0478333333333336,24.574,0.9829600000000001
Anon#450,Math,0.9776666666666666,11.732,0.46928
Anon#450,Science,3.2685,39.221999999999994,1.5688799999999998
Anon#462,Language,7.352999999999999,88.23599999999999,3.5294399999999997
Anon#462,Science,0.0013333333333333333,0.016,0.00064
Anon#472,Math,0.28099999999999997,3.372,0.13488
Anon#482,Math,3.673666666666667,44.084,1.76336
Anon#489,Math,2.4593333333333334,29.512,1.18048
Anon#497,Math,4.452166666666667,53.426,2.1370400000000003
Anon#498,Math,1.3566666666666665,16.279999999999998,0.6511999999999999
Anon#501,Math,1.9735000000000003,23.682000000000002,0.9472800000000001
Anon#522,Reading,0.38233333333333336,4.588,0.18352000000000002
Anon#522,Science,0.6686666666666666,8.024,0.32095999999999997
Anon#526,Math,1.2343333333333333,14.812000000000001,0.59248
Anon#532,Math,0.7155,8.586,0.34344
Anon#553,Math,0.8316666666666667,9.98,0.3992
Anon#612,Language,0.0021666666666666666,0.026000000000000002,0.0010400000000000001
Anon#612,Math,2.824166666666667,33.89,1.3556
Anon#612,Science,0.09883333333333333,1.186,0.047439999999999996
Anon#612,Social Studies,0.15716666666666665,1.886,0.07544
Anon#631,Math,0,0,0
Anon#636,Math,0,0,0
Anon#640,Math,0.5493333333333333,6.5920000000000005,0.26368
Anon#647,Math,3.6806666666666668,44.168,1.76672
Anon#708,Language,0.0055000000000000005,0.066,0.00264
Anon#708,Math,0.6195,7.434,0.29736
Anon#708,Reading,0.39166666666666666,4.7,0.188
Anon#710,Language,0.35816666666666663,4.298,0.17192
Anon#710,Math,0,0,0
Anon#719,Language,0.7678333333333334,9.214,0.36856
Anon#758,Math,4.227333333333333,50.727999999999994,2.02912
Anon#778,Reading,2.272666666666667,27.272000000000002,1.09088
Anon#783,Language,2.7095,32.513999999999996,1.30056
Anon#783,Math,1.5213333333333334,18.256,0.73024
Anon#783,Reading,0.9826666666666667,11.792,0.47168
Anon#791,Reading,0.27283333333333337,3.274,0.13096
Anon#804,Language,0.9158333333333334,10.99,0.4396
Anon#804,Math,1.1043333333333332,13.251999999999999,0.53008
Anon#804,Reading,0.8220000000000002,9.864,0.39456
Anon#804,Science,1.0321666666666667,12.386,0.49544
Anon#813,Language,0.7341666666666666,8.809999999999999,0.35239999999999994
Anon#813,Math,1.2423333333333335,14.908000000000001,0.5963200000000001
Anon#813,Reading,1.0986666666666667,13.184000000000001,0.52736
Anon#813,Science,0.7200000000000001,8.64,0.3456
Anon#822,Math,0.3955,4.746,0.18984
Anon#843,Language,0.635,7.62,0.3048
Anon#843,Math,0.61,7.32,0.2928
Anon#846,Language,0.4245,5.093999999999999,0.20375999999999997
Anon#846,Math,0.7646666666666667,9.176,0.36704000000000003
Anon#846,Reading,0.765,9.18,0.36719999999999997
Anon#846,Science,0.4498333333333333,5.398,0.21592
Anon#848,Math,2.571833333333333,30.862000000000002,1.23448
Anon#859,Language,0.09683333333333333,1.162,0.046479999999999994
